"sideid","mapid","layer","country","cowcode","groupname","marker","year","dhs.round","dhs.subround","sample.size","fit.comb","tps.g.fit","tps.par.knn","tps.par.sphkm","tps.par.knncut","tps.par.unsurv","tps.fit","knn.g.fit","knn.par.knn","knn.par.sphkm","knn.par.weights","knn.par.unsurv","knn.par.knncut","knn.fit"
"side_v1_85_4",85,4,"Guinea",438,"other","ethnic",1999,4,1,114,0.156286631454568,1.00799915522918,269,419478,34,1805,0.15646015508462,NA,8,1284,1614,2800,92,NA
"side_v1_85_5",85,5,"Guinea",438,"peulh","ethnic",1999,4,1,114,0.156286631454568,0.280716266551071,269,419478,34,1805,0.15646015508462,NA,8,1284,1614,2800,92,NA
"side_v1_85_6",85,6,"Guinea",438,"sousou","ethnic",1999,4,1,114,0.156286631454568,0.38825402836151,269,419478,34,1805,0.15646015508462,NA,8,1284,1614,2800,92,NA
"side_v1_85_7",85,7,"Guinea",438,"toma","ethnic",1999,4,1,114,0.156286631454568,0.842684109695977,269,419478,34,1805,0.15646015508462,1.18839975791074,8,1284,1614,2800,92,NA
"side_v1_88_1",88,1,"Guinea",438,"guerzé","ethnic",2005,5,1,114,0.141071560857886,0.352387850396084,119,474631,144,1820,0.143394050865127,0.292437989194502,65,96072,5533,2356,275,0.145382228353822
"side_v1_88_2",88,2,"Guinea",438,"kissi","ethnic",2005,5,1,114,0.141071560857886,0.617374823160956,119,474631,144,1820,0.143394050865127,0.570872402753446,65,96072,5533,2356,275,0.145382228353822
"side_v1_88_3",88,3,"Guinea",438,"malinké","ethnic",2005,5,1,114,0.141071560857886,0.341654931495312,119,474631,144,1820,0.143394050865127,0.334991727526347,65,96072,5533,2356,275,0.145382228353822
"side_v1_88_4",88,4,"Guinea",438,"other","ethnic",2005,5,1,114,0.141071560857886,1.42053833926376,119,474631,144,1820,0.143394050865127,1.15102086831128,65,96072,5533,2356,275,0.145382228353822
"side_v1_88_5",88,5,"Guinea",438,"peulh","ethnic",2005,5,1,114,0.141071560857886,0.203955855758978,119,474631,144,1820,0.143394050865127,0.231112310403564,65,96072,5533,2356,275,0.145382228353822
"side_v1_88_6",88,6,"Guinea",438,"soussou","ethnic",2005,5,1,114,0.141071560857886,0.203473485625878,119,474631,144,1820,0.143394050865127,0.258478954351649,65,96072,5533,2356,275,0.145382228353822
"side_v1_88_7",88,7,"Guinea",438,"toma","ethnic",2005,5,1,114,0.141071560857886,0.747919975332578,119,474631,144,1820,0.143394050865127,0.597729549192899,65,96072,5533,2356,275,0.145382228353822
"side_v1_91_1",91,1,"Guinea",438,"autre","ethnic",2012,6,1,114,0.102005361423087,0.641582801515862,182,416710,4,979,0.112324691131203,0.490667586019691,111,763688,11219,2181,35,0.108478718012242
"side_v1_91_2",91,2,"Guinea",438,"guerzé","ethnic",2012,6,1,114,0.102005361423087,0.31803063017353,182,416710,4,979,0.112324691131203,0.329902297456323,111,763688,11219,2181,35,0.108478718012242
"side_v1_91_3",91,3,"Guinea",438,"kissi","ethnic",2012,6,1,114,0.102005361423087,0.486755649121061,182,416710,4,979,0.112324691131203,0.304760433893381,111,763688,11219,2181,35,0.108478718012242
"side_v1_91_4",91,4,"Guinea",438,"malinké","ethnic",2012,6,1,114,0.102005361423087,0.285829637610468,182,416710,4,979,0.112324691131203,0.272942215614213,111,763688,11219,2181,35,0.108478718012242
"side_v1_91_5",91,5,"Guinea",438,"other","ethnic",2012,6,1,114,0.102005361423087,0.632978209744316,182,416710,4,979,0.112324691131203,0.639149854484311,111,763688,11219,2181,35,0.108478718012242
"side_v1_91_6",91,6,"Guinea",438,"peulh","ethnic",2012,6,1,114,0.102005361423087,0.147814389895271,182,416710,4,979,0.112324691131203,0.170755812869379,111,763688,11219,2181,35,0.108478718012242
"side_v1_91_7",91,7,"Guinea",438,"soussou","ethnic",2012,6,1,114,0.102005361423087,0.175232903165359,182,416710,4,979,0.112324691131203,0.22564396043277,111,763688,11219,2181,35,0.108478718012242
"side_v1_91_8",91,8,"Guinea",438,"toma","ethnic",2012,6,1,114,0.102005361423087,0.571235852210118,182,416710,4,979,0.112324691131203,0.343037784068836,111,763688,11219,2181,35,0.108478718012242
"side_v1_114_1",114,1,"Kenya",501,"embu","ethnic",2003,4,1,114,0.156779846681432,0.44183151809333,25,745174,396,1539,0.15796879274878,0.552278078920033,82,107361,9024,1367,347,0.173908056557484
"side_v1_114_2",114,2,"Kenya",501,"kalenjin","ethnic",2003,4,1,114,0.156779846681432,0.571459525608674,25,745174,396,1539,0.15796879274878,0.595287976310125,82,107361,9024,1367,347,0.173908056557484
"side_v1_114_3",114,3,"Kenya",501,"kamba","ethnic",2003,4,1,114,0.156779846681432,0.22189142593939,25,745174,396,1539,0.15796879274878,0.258818685056927,82,107361,9024,1367,347,0.173908056557484
"side_v1_114_4",114,4,"Kenya",501,"kikuyu","ethnic",2003,4,1,114,0.156779846681432,0.20856929516124,25,745174,396,1539,0.15796879274878,0.226063607867848,82,107361,9024,1367,347,0.173908056557484
"side_v1_114_5",114,5,"Kenya",501,"kisii","ethnic",2003,4,1,114,0.156779846681432,0.209357380573452,25,745174,396,1539,0.15796879274878,0.305444565607114,82,107361,9024,1367,347,0.173908056557484
"side_v1_114_6",114,6,"Kenya",501,"kuria","ethnic",2003,4,1,114,0.156779846681432,Inf,25,745174,396,1539,0.15796879274878,Inf,82,107361,9024,1367,347,0.173908056557484
"side_v1_114_7",114,7,"Kenya",501,"luhya","ethnic",2003,4,1,114,0.156779846681432,0.0834842329375126,25,745174,396,1539,0.15796879274878,0.118557616245901,82,107361,9024,1367,347,0.173908056557484
"side_v1_114_8",114,8,"Kenya",501,"luo","ethnic",2003,4,1,114,0.156779846681432,0.333531113820574,25,745174,396,1539,0.15796879274878,0.390252108376093,82,107361,9024,1367,347,0.173908056557484
"side_v1_114_9",114,9,"Kenya",501,"masai","ethnic",2003,4,1,114,0.156779846681432,0.7169932407479,25,745174,396,1539,0.15796879274878,0.717916855586336,82,107361,9024,1367,347,0.173908056557484
"side_v1_114_10",114,10,"Kenya",501,"meru","ethnic",2003,4,1,114,0.156779846681432,0.100692014068317,25,745174,396,1539,0.15796879274878,0.0442606063866182,82,107361,9024,1367,347,0.173908056557484
"side_v1_114_11",114,11,"Kenya",501,"mijikenda/swahili","ethnic",2003,4,1,114,0.156779846681432,0.0539037582645692,25,745174,396,1539,0.15796879274878,0.0710964887941584,82,107361,9024,1367,347,0.173908056557484
"side_v1_114_12",114,12,"Kenya",501,"other","ethnic",2003,4,1,114,0.156779846681432,0.543665929197944,25,745174,396,1539,0.15796879274878,0.602253457241963,82,107361,9024,1367,347,0.173908056557484
"side_v1_114_13",114,13,"Kenya",501,"somali","ethnic",2003,4,1,114,0.156779846681432,0.0405899322135102,25,745174,396,1539,0.15796879274878,0.0313260751841699,82,107361,9024,1367,347,0.173908056557484
"side_v1_114_14",114,14,"Kenya",501,"taita/tavate","ethnic",2003,4,1,114,0.156779846681432,0.0737682889312436,25,745174,396,1539,0.15796879274878,0.0357739837568976,82,107361,9024,1367,347,0.173908056557484
"side_v1_114_15",114,15,"Kenya",501,"turkana","ethnic",2003,4,1,114,0.156779846681432,1.00978388651982,25,745174,396,1539,0.15796879274878,0.984075955561281,82,107361,9024,1367,347,0.173908056557484
"side_v1_22_1",22,1,"Burkina Faso",439,"catholic","religion",1999,3,1,114,0.150500207070274,0.787622484079831,95,799946,104,1409,0.16203780982546,0.734942007143927,177,545438,4680,1377,171,0.154064145759173
"side_v1_22_2",22,2,"Burkina Faso",439,"moslem","religion",1999,3,1,114,0.150500207070274,0.677942790396956,95,799946,104,1409,0.16203780982546,0.639895513889912,177,545438,4680,1377,171,0.154064145759173
"side_v1_22_3",22,3,"Burkina Faso",439,"no religion","religion",1999,3,1,114,0.150500207070274,0.73659493246413,95,799946,104,1409,0.16203780982546,0.551841463625252,177,545438,4680,1377,171,0.154064145759173
"side_v1_22_4",22,4,"Burkina Faso",439,"other","religion",1999,3,1,114,0.150500207070274,1.15342702532384,95,799946,104,1409,0.16203780982546,1.1401110541714,177,545438,4680,1377,171,0.154064145759173
"side_v1_22_5",22,5,"Burkina Faso",439,"protestant","religion",1999,3,1,114,0.150500207070274,1.03969717993353,95,799946,104,1409,0.16203780982546,0.906825119792086,177,545438,4680,1377,171,0.154064145759173
"side_v1_22_6",22,6,"Burkina Faso",439,"traditional","religion",1999,3,1,114,0.150500207070274,0.843846883899184,95,799946,104,1409,0.16203780982546,0.877367380239813,177,545438,4680,1377,171,0.154064145759173
"side_v1_71_1",71,1,"Gabon",481,"animist","religion",2012,6,1,114,0.0558213478214431,0.903425264350023,7,412069,280,4576,0.0580586676283547,0.965201925244013,26,142173,9620,3626,325,0.0559642057366351
"side_v1_71_2",71,2,"Gabon",481,"catholic","religion",2012,6,1,114,0.0558213478214431,0.806207308235604,7,412069,280,4576,0.0580586676283547,0.749008518326428,26,142173,9620,3626,325,0.0559642057366351
"side_v1_71_3",71,3,"Gabon",481,"muslim","religion",2012,6,1,114,0.0558213478214431,0.928234609425211,7,412069,280,4576,0.0580586676283547,0.907896220350859,26,142173,9620,3626,325,0.0559642057366351
"side_v1_71_4",71,4,"Gabon",481,"no religion","religion",2012,6,1,114,0.0558213478214431,0.691165880024112,7,412069,280,4576,0.0580586676283547,0.704033943741267,26,142173,9620,3626,325,0.0559642057366351
"side_v1_71_5",71,5,"Gabon",481,"other","religion",2012,6,1,114,0.0558213478214431,0.983059494070656,7,412069,280,4576,0.0580586676283547,1.09863491748635,26,142173,9620,3626,325,0.0559642057366351
"side_v1_71_6",71,6,"Gabon",481,"other christian","religion",2012,6,1,114,0.0558213478214431,0.640970505625892,7,412069,280,4576,0.0580586676283547,0.598982375081442,26,142173,9620,3626,325,0.0559642057366351
"side_v1_71_7",71,7,"Gabon",481,"protestant","religion",2012,6,1,114,0.0558213478214431,0.748004811992133,7,412069,280,4576,0.0580586676283547,0.756955389216676,26,142173,9620,3626,325,0.0559642057366351
"side_v1_223_1",223,1,"Senegal",433,"diola.christian","ethnic.religion",2011,6,1,114,0.141896560920994,0.543773197486342,234,325394,105,262,0.14183233080363,0.608506617637083,65,45062,10592,200,321,0.147699171362788
"side_v1_223_2",223,2,"Senegal",433,"diola.mixed","ethnic.religion",2011,6,1,114,0.141896560920994,0.844476382603625,234,325394,105,262,0.14183233080363,0.816434900414902,65,45062,10592,200,321,0.147699171362788
"side_v1_223_3",223,3,"Senegal",433,"diola.muslim","ethnic.religion",2011,6,1,114,0.141896560920994,0.118918515785799,234,325394,105,262,0.14183233080363,0.155478924276812,65,45062,10592,200,321,0.147699171362788
"side_v1_223_4",223,4,"Senegal",433,"mandingue.mixed","ethnic.religion",2011,6,1,114,0.141896560920994,1.10314150081824,234,325394,105,262,0.14183233080363,1.56430980223027,65,45062,10592,200,321,0.147699171362788
"side_v1_223_5",223,5,"Senegal",433,"mandingue.muslim","ethnic.religion",2011,6,1,114,0.141896560920994,0.648387700693296,234,325394,105,262,0.14183233080363,0.607929188584103,65,45062,10592,200,321,0.147699171362788
"side_v1_223_6",223,6,"Senegal",433,"not a senegalese.mixed","ethnic.religion",2011,6,1,114,0.141896560920994,1.04583007469347,234,325394,105,262,0.14183233080363,1.10211753437712,65,45062,10592,200,321,0.147699171362788
"side_v1_223_7",223,7,"Senegal",433,"not a senegalese.muslim","ethnic.religion",2011,6,1,114,0.141896560920994,1.26719491516946,234,325394,105,262,0.14183233080363,1.19011392004373,65,45062,10592,200,321,0.147699171362788
"side_v1_223_8",223,8,"Senegal",433,"other.mixed","ethnic.religion",2011,6,1,114,0.141896560920994,0.960985358350126,234,325394,105,262,0.14183233080363,0.832146859234616,65,45062,10592,200,321,0.147699171362788
"side_v1_223_9",223,9,"Senegal",433,"other.muslim","ethnic.religion",2011,6,1,114,0.141896560920994,0.572646222349588,234,325394,105,262,0.14183233080363,0.505041365368059,65,45062,10592,200,321,0.147699171362788
"side_v1_223_10",223,10,"Senegal",433,"poular.mixed","ethnic.religion",2011,6,1,114,0.141896560920994,1.01932820819627,234,325394,105,262,0.14183233080363,1.1402790055844,65,45062,10592,200,321,0.147699171362788
"side_v1_223_11",223,11,"Senegal",433,"poular.muslim","ethnic.religion",2011,6,1,114,0.141896560920994,0.49993803723007,234,325394,105,262,0.14183233080363,0.524733433776229,65,45062,10592,200,321,0.147699171362788
"side_v1_223_12",223,12,"Senegal",433,"serer.mixed","ethnic.religion",2011,6,1,114,0.141896560920994,0.868151907935543,234,325394,105,262,0.14183233080363,0.899527925528578,65,45062,10592,200,321,0.147699171362788
"side_v1_223_13",223,13,"Senegal",433,"serer.muslim","ethnic.religion",2011,6,1,114,0.141896560920994,0.169276009268898,234,325394,105,262,0.14183233080363,0.19393416794309,65,45062,10592,200,321,0.147699171362788
"side_v1_223_14",223,14,"Senegal",433,"soninke.mixed","ethnic.religion",2011,6,1,114,0.141896560920994,1.01633589031023,234,325394,105,262,0.14183233080363,1.11112830690675,65,45062,10592,200,321,0.147699171362788
"side_v1_223_15",223,15,"Senegal",433,"soninke.muslim","ethnic.religion",2011,6,1,114,0.141896560920994,0.990667749834598,234,325394,105,262,0.14183233080363,1.05084562033207,65,45062,10592,200,321,0.147699171362788
"side_v1_223_16",223,16,"Senegal",433,"wolof.mixed","ethnic.religion",2011,6,1,114,0.141896560920994,0.956387687953442,234,325394,105,262,0.14183233080363,0.995395388835283,65,45062,10592,200,321,0.147699171362788
"side_v1_223_17",223,17,"Senegal",433,"wolof.muslim","ethnic.religion",2011,6,1,114,0.141896560920994,0.394340251327375,234,325394,105,262,0.14183233080363,0.413704161786737,65,45062,10592,200,321,0.147699171362788
"side_v1_23_1",23,1,"Burkina Faso",439,"bissa.mixed","ethnic.religion",1999,3,1,114,0.236788602563034,0.767618773113754,77,103324,41,96,0.249842351481839,0.409177623436346,43,200266,6731,97,22,0.236711794148906
"side_v1_23_2",23,2,"Burkina Faso",439,"bissa.moslem","ethnic.religion",1999,3,1,114,0.236788602563034,0.555065900085316,77,103324,41,96,0.249842351481839,0.584986428495111,43,200266,6731,97,22,0.236711794148906
"side_v1_23_3",23,3,"Burkina Faso",439,"bobo.mixed","ethnic.religion",1999,3,1,114,0.236788602563034,0.820931899989313,77,103324,41,96,0.249842351481839,0.674972361439093,43,200266,6731,97,22,0.236711794148906
"side_v1_23_4",23,4,"Burkina Faso",439,"dafing.mixed","ethnic.religion",1999,3,1,114,0.236788602563034,1.01240964254703,77,103324,41,96,0.249842351481839,1.02715215157326,43,200266,6731,97,22,0.236711794148906
"side_v1_23_5",23,5,"Burkina Faso",439,"dafing.moslem","ethnic.religion",1999,3,1,114,0.236788602563034,1.64519356945955,77,103324,41,96,0.249842351481839,0.950721334478857,43,200266,6731,97,22,0.236711794148906
"side_v1_23_6",23,6,"Burkina Faso",439,"dagara.catholic","ethnic.religion",1999,3,1,114,0.236788602563034,0.924987088746497,77,103324,41,96,0.249842351481839,0.907220475443755,43,200266,6731,97,22,0.236711794148906
"side_v1_23_7",23,7,"Burkina Faso",439,"dagara.mixed","ethnic.religion",1999,3,1,114,0.236788602563034,0.990375631731417,77,103324,41,96,0.249842351481839,0.978049205187035,43,200266,6731,97,22,0.236711794148906
"side_v1_23_8",23,8,"Burkina Faso",439,"dioula.mixed","ethnic.religion",1999,3,1,114,0.236788602563034,1.0529702572089,77,103324,41,96,0.249842351481839,1.0569849660498,43,200266,6731,97,22,0.236711794148906
"side_v1_23_9",23,9,"Burkina Faso",439,"dioula.moslem","ethnic.religion",1999,3,1,114,0.236788602563034,0.955324185178538,77,103324,41,96,0.249842351481839,1.08339733707067,43,200266,6731,97,22,0.236711794148906
"side_v1_23_10",23,10,"Burkina Faso",439,"fulfulde/peul.catholic","ethnic.religion",1999,3,1,114,0.236788602563034,1.01219791855002,77,103324,41,96,0.249842351481839,1.02715346196122,43,200266,6731,97,22,0.236711794148906
"side_v1_23_11",23,11,"Burkina Faso",439,"fulfulde/peul.mixed","ethnic.religion",1999,3,1,114,0.236788602563034,3.94797854129909,77,103324,41,96,0.249842351481839,1.01348495774795,43,200266,6731,97,22,0.236711794148906
"side_v1_23_12",23,12,"Burkina Faso",439,"fulfulde/peul.moslem","ethnic.religion",1999,3,1,114,0.236788602563034,0.582605272864886,77,103324,41,96,0.249842351481839,0.467711397297445,43,200266,6731,97,22,0.236711794148906
"side_v1_23_13",23,13,"Burkina Faso",439,"fulfulde/peul.traditional","ethnic.religion",1999,3,1,114,0.236788602563034,1.00166929731164,77,103324,41,96,0.249842351481839,1.07182301316771,43,200266,6731,97,22,0.236711794148906
"side_v1_23_14",23,14,"Burkina Faso",439,"gourmatche.catholic","ethnic.religion",1999,3,1,114,0.236788602563034,0.750365840690363,77,103324,41,96,0.249842351481839,0.911769675914259,43,200266,6731,97,22,0.236711794148906
"side_v1_23_15",23,15,"Burkina Faso",439,"gourmatche.mixed","ethnic.religion",1999,3,1,114,0.236788602563034,0.343556624939612,77,103324,41,96,0.249842351481839,0.360514622885119,43,200266,6731,97,22,0.236711794148906
"side_v1_23_16",23,16,"Burkina Faso",439,"gourmatche.moslem","ethnic.religion",1999,3,1,114,0.236788602563034,1.01593767324874,77,103324,41,96,0.249842351481839,0.893743104595463,43,200266,6731,97,22,0.236711794148906
"side_v1_23_17",23,17,"Burkina Faso",439,"gourmatche.protestant","ethnic.religion",1999,3,1,114,0.236788602563034,0.343401914232289,77,103324,41,96,0.249842351481839,0.664717720661145,43,200266,6731,97,22,0.236711794148906
"side_v1_23_18",23,18,"Burkina Faso",439,"gourmatche.traditional","ethnic.religion",1999,3,1,114,0.236788602563034,0.694399035492639,77,103324,41,96,0.249842351481839,0.711275706451098,43,200266,6731,97,22,0.236711794148906
"side_v1_23_19",23,19,"Burkina Faso",439,"gourounsi.mixed","ethnic.religion",1999,3,1,114,0.236788602563034,0.852540174647849,77,103324,41,96,0.249842351481839,0.871242537263034,43,200266,6731,97,22,0.236711794148906
"side_v1_23_20",23,20,"Burkina Faso",439,"lobi.mixed","ethnic.religion",1999,3,1,114,0.236788602563034,0.681206077559605,77,103324,41,96,0.249842351481839,0.669803686491915,43,200266,6731,97,22,0.236711794148906
"side_v1_23_21",23,21,"Burkina Faso",439,"mossi.catholic","ethnic.religion",1999,3,1,114,0.236788602563034,0.737324832368484,77,103324,41,96,0.249842351481839,0.720652457647753,43,200266,6731,97,22,0.236711794148906
"side_v1_23_22",23,22,"Burkina Faso",439,"mossi.mixed","ethnic.religion",1999,3,1,114,0.236788602563034,1.02570655152708,77,103324,41,96,0.249842351481839,1.1573234704091,43,200266,6731,97,22,0.236711794148906
"side_v1_23_23",23,23,"Burkina Faso",439,"mossi.moslem","ethnic.religion",1999,3,1,114,0.236788602563034,0.57014302560313,77,103324,41,96,0.249842351481839,0.553763002382595,43,200266,6731,97,22,0.236711794148906
"side_v1_23_24",23,24,"Burkina Faso",439,"mossi.protestant","ethnic.religion",1999,3,1,114,0.236788602563034,0.865835394940089,77,103324,41,96,0.249842351481839,0.941885895068316,43,200266,6731,97,22,0.236711794148906
"side_v1_23_25",23,25,"Burkina Faso",439,"mossi.traditional","ethnic.religion",1999,3,1,114,0.236788602563034,0.82377494608452,77,103324,41,96,0.249842351481839,0.86886846391732,43,200266,6731,97,22,0.236711794148906
"side_v1_23_26",23,26,"Burkina Faso",439,"other burkina.mixed","ethnic.religion",1999,3,1,114,0.236788602563034,1.08913003464435,77,103324,41,96,0.249842351481839,1.50468107936178,43,200266,6731,97,22,0.236711794148906
"side_v1_23_27",23,27,"Burkina Faso",439,"other burkina.moslem","ethnic.religion",1999,3,1,114,0.236788602563034,1.02179736370235,77,103324,41,96,0.249842351481839,0.991032326694842,43,200266,6731,97,22,0.236711794148906
"side_v1_23_28",23,28,"Burkina Faso",439,"other.mixed","ethnic.religion",1999,3,1,114,0.236788602563034,0.997620765934457,77,103324,41,96,0.249842351481839,1.0133013192443,43,200266,6731,97,22,0.236711794148906
"side_v1_23_29",23,29,"Burkina Faso",439,"other.moslem","ethnic.religion",1999,3,1,114,0.236788602563034,1.04436729918117,77,103324,41,96,0.249842351481839,2.21639189151374,43,200266,6731,97,22,0.236711794148906
"side_v1_23_30",23,30,"Burkina Faso",439,"samo.mixed","ethnic.religion",1999,3,1,114,0.236788602563034,0.919919155219544,77,103324,41,96,0.249842351481839,0.920972101956627,43,200266,6731,97,22,0.236711794148906
"side_v1_23_31",23,31,"Burkina Faso",439,"samo.moslem","ethnic.religion",1999,3,1,114,0.236788602563034,0.466088671661974,77,103324,41,96,0.249842351481839,0.514612851685171,43,200266,6731,97,22,0.236711794148906
"side_v1_23_32",23,32,"Burkina Faso",439,"senoufo.mixed","ethnic.religion",1999,3,1,114,0.236788602563034,0.62548041680748,77,103324,41,96,0.249842351481839,0.730037082915091,43,200266,6731,97,22,0.236711794148906
"side_v1_23_33",23,33,"Burkina Faso",439,"senoufo.moslem","ethnic.religion",1999,3,1,114,0.236788602563034,0.837647097779255,77,103324,41,96,0.249842351481839,0.737104863126619,43,200266,6731,97,22,0.236711794148906
"side_v1_225_1",225,1,"Senegal",433,"christian","religion",2013,6,2,114,0.00739980393096483,0.403255734233911,149,466468,158,3514,0.00793103823994662,0.398564144324123,36,252687,10684,4881,2,0.00796294105046309
"side_v1_225_2",225,2,"Senegal",433,"muslim","religion",2013,6,2,114,0.00739980393096483,0.389107508291637,149,466468,158,3514,0.00793103823994662,0.397257208745537,36,252687,10684,4881,2,0.00796294105046309
"side_v1_225_3",225,3,"Senegal",433,"other","religion",2013,6,2,114,0.00739980393096483,1.70018638694124,149,466468,158,3514,0.00793103823994662,1.65331864216292,36,252687,10684,4881,2,0.00796294105046309
"side_v1_72_1",72,1,"Gabon",481,"fang.catholic","ethnic.religion",2012,6,1,114,0.0997706104501034,0.401987080854488,206,226687,3,776,0.106081853760338,0.400229431427528,1,60024,7527,760,119,0.101106335998053
"side_v1_72_2",72,2,"Gabon",481,"fang.mixed","ethnic.religion",2012,6,1,114,0.0997706104501034,1.08541546193896,206,226687,3,776,0.106081853760338,1.04439027220124,1,60024,7527,760,119,0.101106335998053
"side_v1_72_3",72,3,"Gabon",481,"fang.no religion","ethnic.religion",2012,6,1,114,0.0997706104501034,1.11639632879198,206,226687,3,776,0.106081853760338,0.99418816904269,1,60024,7527,760,119,0.101106335998053
"side_v1_72_4",72,4,"Gabon",481,"fang.other christian","ethnic.religion",2012,6,1,114,0.0997706104501034,0.800121291903876,206,226687,3,776,0.106081853760338,0.784855030908945,1,60024,7527,760,119,0.101106335998053
"side_v1_72_5",72,5,"Gabon",481,"fang.protestant","ethnic.religion",2012,6,1,114,0.0997706104501034,0.553767780535664,206,226687,3,776,0.106081853760338,0.541046128725702,1,60024,7527,760,119,0.101106335998053
"side_v1_72_6",72,6,"Gabon",481,"kota-kele.catholic","ethnic.religion",2012,6,1,114,0.0997706104501034,0.337606304888531,206,226687,3,776,0.106081853760338,0.377984333581255,1,60024,7527,760,119,0.101106335998053
"side_v1_72_7",72,7,"Gabon",481,"kota-kele.mixed","ethnic.religion",2012,6,1,114,0.0997706104501034,0.92390275630792,206,226687,3,776,0.106081853760338,0.872679591826459,1,60024,7527,760,119,0.101106335998053
"side_v1_72_8",72,8,"Gabon",481,"kota-kele.no religion","ethnic.religion",2012,6,1,114,0.0997706104501034,0.582728094787078,206,226687,3,776,0.106081853760338,0.386215159612667,1,60024,7527,760,119,0.101106335998053
"side_v1_72_9",72,9,"Gabon",481,"kota-kele.other christian","ethnic.religion",2012,6,1,114,0.0997706104501034,0.4762084465328,206,226687,3,776,0.106081853760338,0.413500124697597,1,60024,7527,760,119,0.101106335998053
"side_v1_72_10",72,10,"Gabon",481,"kota-kele.protestant","ethnic.religion",2012,6,1,114,0.0997706104501034,0.908992730866415,206,226687,3,776,0.106081853760338,1.15330423764067,1,60024,7527,760,119,0.101106335998053
"side_v1_72_11",72,11,"Gabon",481,"mbede-teke.catholic","ethnic.religion",2012,6,1,114,0.0997706104501034,0.583211485742305,206,226687,3,776,0.106081853760338,0.493387725899268,1,60024,7527,760,119,0.101106335998053
"side_v1_72_12",72,12,"Gabon",481,"mbede-teke.mixed","ethnic.religion",2012,6,1,114,0.0997706104501034,0.993449054741418,206,226687,3,776,0.106081853760338,0.897065586334067,1,60024,7527,760,119,0.101106335998053
"side_v1_72_13",72,13,"Gabon",481,"mbede-teke.no religion","ethnic.religion",2012,6,1,114,0.0997706104501034,0.84696062176894,206,226687,3,776,0.106081853760338,1.00046633918827,1,60024,7527,760,119,0.101106335998053
"side_v1_72_14",72,14,"Gabon",481,"mbede-teke.other christian","ethnic.religion",2012,6,1,114,0.0997706104501034,0.781162090382403,206,226687,3,776,0.106081853760338,0.560368410634342,1,60024,7527,760,119,0.101106335998053
"side_v1_72_15",72,15,"Gabon",481,"mbede-teke.protestant","ethnic.religion",2012,6,1,114,0.0997706104501034,0.467094046490939,206,226687,3,776,0.106081853760338,0.58451502666351,1,60024,7527,760,119,0.101106335998053
